"번호","시각_UTC","모델","입력_토큰","출력_토큰","캐시생성_토큰","캐시읽기_토큰","호출비용_USD","누적_입력토큰","누적_출력토큰","누적_캐시생성","누적_캐시읽기","누적비용_USD"
"1","2026-06-05 12:12:52","claude-sonnet-4-6","3","165","7262","15291","0.034304","3","165","7262","15291","0.0343"
"2","2026-06-05 12:12:54","claude-sonnet-4-6","3","165","7262","15291","0.034304","6","330","14524","30582","0.0686"
"3","2026-06-05 12:13:25","claude-sonnet-4-6","3","100","172","22553","0.00892","9","430","14696","53135","0.0775"
"4","2026-06-05 12:13:26","claude-sonnet-4-6","3","100","172","22553","0.00892","12","530","14868","75688","0.0864"
"5","2026-06-05 12:16:23","claude-sonnet-4-6","3","222","426","22725","0.011754","15","752","15294","98413","0.0982"
"6","2026-06-05 12:16:23","claude-sonnet-4-6","3","222","426","22725","0.011754","18","974","15720","121138","0.11"
"7","2026-06-05 12:16:24","claude-sonnet-4-6","3","222","426","22725","0.011754","21","1196","16146","143863","0.1217"
"8","2026-06-05 12:16:30","claude-sonnet-4-6","1","129","427","23151","0.010485","22","1325","16573","167014","0.1322"
"9","2026-06-05 12:16:34","claude-sonnet-4-6","1","100","855","23578","0.011783","23","1425","17428","190592","0.144"
"10","2026-06-05 12:16:37","claude-sonnet-4-6","1","129","2840","24433","0.019918","24","1554","20268","215025","0.1639"
"11","2026-06-05 12:16:37","claude-sonnet-4-6","1","129","2840","24433","0.019918","25","1683","23108","239458","0.1838"
"12","2026-06-05 12:16:51","claude-sonnet-4-6","1","1220","2438","27273","0.035627","26","2903","25546","266731","0.2194"
"13","2026-06-05 12:16:51","claude-sonnet-4-6","1","1220","2438","27273","0.035627","27","4123","27984","294004","0.2551"
"14","2026-06-05 12:16:59","claude-sonnet-4-6","1","1220","2438","27273","0.035627","28","5343","30422","321277","0.2907"
"15","2026-06-05 12:24:37","claude-sonnet-4-6","1","27122","1942","29711","0.423029","29","32465","32364","350988","0.7137"
"16","2026-06-05 12:24:38","claude-sonnet-4-6","1","27122","1942","29711","0.423029","30","59587","34306","380699","1.1368"
"17","2026-06-05 12:24:40","claude-sonnet-4-6","1","27122","1942","29711","0.423029","31","86709","36248","410410","1.5598"
"18","2026-06-05 12:24:41","claude-sonnet-4-6","1","27122","1942","29711","0.423029","32","113831","38190","440121","1.9828"
"19","2026-06-05 12:24:54","claude-sonnet-4-6","1","1405","27373","31653","0.133223","33","115236","65563","471774","2.116"
"20","2026-06-05 12:25:05","claude-sonnet-4-6","1","1405","27373","31653","0.133223","34","116641","92936","503427","2.2493"
"21","2026-06-05 12:25:12","claude-sonnet-4-6","1","1072","1564","59026","0.039656","35","117713","94500","562453","2.2889"
"22","2026-06-05 12:25:18","claude-sonnet-4-6","1","1072","1564","59026","0.039656","36","118785","96064","621479","2.3286"
"23","2026-06-05 12:25:53","claude-sonnet-4-6","1","2001","1231","60590","0.052811","37","120786","97295","682069","2.3814"
"24","2026-06-05 12:27:08","claude-sonnet-4-6","1","7212","2063","61821","0.134466","38","127998","99358","743890","2.5158"
"25","2026-06-05 12:27:11","claude-sonnet-4-6","1","658","7274","63884","0.056316","39","128656","106632","807774","2.5722"
"26","2026-06-05 12:27:14","claude-sonnet-4-6","1","658","7274","63884","0.056316","40","129314","113906","871658","2.6285"
"27","2026-06-05 12:27:16","claude-sonnet-4-6","1","658","7274","63884","0.056316","41","129972","121180","935542","2.6848"
"28","2026-06-05 12:27:21","claude-sonnet-4-6","1","538","818","71158","0.032488","42","130510","121998","1006700","2.7173"
"29","2026-06-05 12:27:23","claude-sonnet-4-6","1","538","818","71158","0.032488","43","131048","122816","1077858","2.7498"
"30","2026-06-05 12:27:24","claude-sonnet-4-6","1","538","818","71158","0.032488","44","131586","123634","1149016","2.7823"
"31","2026-06-05 12:27:31","claude-sonnet-4-6","1","2236","871","71976","0.058402","45","133822","124505","1220992","2.8407"
"32","2026-06-05 12:27:51","claude-sonnet-4-6","1","2236","871","71976","0.058402","46","136058","125376","1292968","2.8991"
"33","2026-06-05 12:27:56","claude-sonnet-4-6","1","423","2399","72847","0.037198","47","136481","127775","1365815","2.9363"
"34","2026-06-05 12:27:58","claude-sonnet-4-6","1","423","2399","72847","0.037198","48","136904","130174","1438662","2.9735"
"35","2026-06-05 12:28:04","claude-sonnet-4-6","1","1744","586","75246","0.050934","49","138648","130760","1513908","3.0244"
"36","2026-06-05 12:28:21","claude-sonnet-4-6","1","1744","586","75246","0.050934","50","140392","131346","1589154","3.0753"
"37","2026-06-05 12:28:36","claude-sonnet-4-6","1","1141","1809","75832","0.046651","51","141533","133155","1664986","3.122"
"38","2026-06-05 12:29:15","claude-sonnet-4-6","1","3305","1206","77641","0.077393","52","144838","134361","1742627","3.1994"
"39","2026-06-05 12:29:19","claude-sonnet-4-6","1","2190","3370","78847","0.069145","53","147028","137731","1821474","3.2685"
"40","2026-06-05 12:29:42","claude-sonnet-4-6","1","2190","3370","78847","0.069145","54","149218","141101","1900321","3.3377"
"41","2026-06-05 12:29:59","claude-sonnet-4-6","1","2595","2346","82217","0.072391","55","151813","143447","1982538","3.41"
"42","2026-06-05 12:30:09","claude-sonnet-4-6","1","2595","2346","82217","0.072391","56","154408","145793","2064755","3.4824"
"43","2026-06-05 12:30:46","claude-sonnet-4-6","1","3156","2762","84563","0.083069","57","157564","148555","2149318","3.5655"
"44","2026-06-05 12:30:52","claude-sonnet-4-6","1","444","3461","87325","0.045839","58","158008","152016","2236643","3.6113"
"45","2026-06-05 12:30:52","claude-sonnet-4-6","1","444","3461","87325","0.045839","59","158452","155477","2323968","3.6572"
"46","2026-06-05 12:30:54","claude-sonnet-4-6","1","444","3461","87325","0.045839","60","158896","158938","2411293","3.703"
"47","2026-06-05 12:31:12","claude-sonnet-4-6","1","1413","504","90786","0.050324","61","160309","159442","2502079","3.7533"
"48","2026-06-05 12:31:42","claude-sonnet-4-6","1","2649","1479","91290","0.072671","62","162958","160921","2593369","3.826"
"49","2026-06-05 12:32:31","claude-sonnet-4-6","1","4664","2718","92769","0.107986","63","167622","163639","2686138","3.934"
"50","2026-06-05 12:32:35","claude-sonnet-4-6","1","136","4730","95487","0.048427","64","167758","168369","2781625","3.9824"
